Dept,Course Number,Level,Hours,Name,Description
ACCT,ACCT-4313,4,3,Advanced Cost Accounting,"Prerequisite: ACCT-3313. Additional study in the development of cost and managerial accounting data for use in planning, control, and decision making by managers. The course includes the use of such tools as linear regression, simulation, and linear programming. It also covers capital budgeting, segment performance, and decision-making behavior under uncertainty. This course is normally offered in the summer semester."
ACCT,ACCT-4413,4,3,Auditing,"Prerequisite: ACCT-3113. Preparation toward a professional accounting career as a Certified Public Accountant in examining and rendering professional opinions on the fairness of organizations' financial statements. The course emphasizes the nature of auditing, internal control systems, auditing techniques and evidence, audit working papers and reports, and professional ethics and independence. This course is normally offered in the fall semester."
ACCT,ACCT-4423,4,3,Ethics and Auditing Concepts,"Prerequisite: ACCT-3113. The course is designed to help students cultivate the ethical commitment needed to ensure that their work meets the highest standard of integrity, independence, and objectivity. Detailed analysis of the need for integrity as the basis for ethics will be covered, as will the various concepts of ethical reasoning. Ethical decision making in business and accounting will be explored, with emphasis given to the areas of independence and objectivity. This course is normally offered in the summer semester."
ACCT,ACCT-4433,4,3,Income Tax Planning and Research,"Prerequisite: ACCT-3513. A specialized study in the areas of tax planning and research. Emphasis is given to legal ways to minimize tax liability through yearly planning, elections, and deferral of income. Extensive computerized tax research is performed to aid in tax planning. This course is offered as needed."
ACCT,ACCT-4513,4,3,Financial Accounting Statesment Analysi,"Prerequisite: ACCT-3113. An in-depth study of contemporary accounting theory with primary emphasis on the pronouncements of the Financial Accounting Standards Board. The main objective is to gain deeper insights into the theory and critical analysis underlying Generally Accepted Accounting Principles and to apply them to financial statement preparation. Study centers on selected parts of the following FASB pronouncements: 1. statements of Financial Accounting Standards, 2. interpretations of ARBs, APB Opinions and FASB Statements of Standards, 3. technical bulletins, and 4. statements of Financial Accounting Concepts. This course is normally offered in the spring semester."
ACCT,ACCT-4900,4,0,Independent Study in Accounting,"Assigned readings, reports and research projects based on the needs of the student. A maximum of 3 hours may be counted toward major. 1-3 semester hours; 50 hours work required for each hour of credit earned, with a maximum of 3 credit hours. This course is offered as needed."
ACCT,ACCT-4901,4,1,Independent Study Acct,
ACCT,ACCT-4902,4,2,Independnt Stdy Acct,
ACCT,ACCT-4903,4,3,Independnt Stdy Acct Is: Financial Statement Preparation & Analysis,
ACCT,ACCT-4990,4,0,Internship in Accounting,"Prerequisites: Admission to College of Business Administration Upper Division, completion of ACCT-3113 and approval of the advisor and dean. Supervised and approved accounting internship with firm or organization; written and oral reports are required along with employer evaluation. 30 hours of work required for each hour of credit with a maximum of 3 credit hours. This course is offered as needed."
ACCT,ACCT-4991,4,1,Intershp in Acctng,
ACCT,ACCT-4992,4,2,Internshp in Acctng,
ACCT,ACCT-4993,4,3,Internship in Accounting,
ACCT,ACCT-4994,4,4,IS: Accounting,
ACCT,ACCT-5003,5,3,Issues in Advanced Accounting Concepts,
ACCT,ACCT-5103,5,3,Accounting Analytics,The course will provide the skills to assist in evaluating issues related to a company's financing and operating activities. The course will also focus on how managers can effectively use accounting information and analytical tools to improve performance.
ACCT,ACCT-5113,5,3,Advanced Tax Accounting,"This course is a review of relevant tax topics. The areas of the taxation of individuals, corporations, partnerships, S corporations, property transactions, and gifts and estates will be covered."
ACCT,ACCT-5123,5,3,Advanced Auditing and Professional Ethics,"This course studies advanced concepts, theories, and techniques applied to external financial, governmental, and internal audit engagements. Ethical issues in accounting are discussed."
ACCT,ACCT-5133,5,3,Advanced Financial Accounting,This course studies advanced concepts and techniques applied to consolidations theory and practice. Emphasis is on real-world applications of how information supports managerial decision-making.
ACCT,ACCT-5143,5,3,Topics in Accounting,
ACCT,ACCT-5153,5,3,Accounting Theory,
ACCT,ACCT-5163,5,3,Accounting Research and Quantitative Tch,
ACCT,ACCT-5803,5,3,Special Topics in Accounting,
ACCT,ACCT-5901,5,1,Graduate Business Practicum in Accounting,"Prerequisite: Student must be in the accounting emphasis. This course provides one to three hours of credit in association with completion of an acceptable accounting industry internship/practicum. Students selecting this option will be responsible for locating an appropriate industry opportunity. This is an optional course and does not substitute for any leveling, core, or elective courses. The curriculum practical training course period extends through an entire semester."
ARSC,ARSC-0010,0,0,Air Science Lower Division,
ARSC,ARSC-0020,0,0,Air Science Upper Division,
ARSC,ARSC-1113,1,3,Principles of Flight,
ARSC,ARSC-1213,1,3,Flight Training,
ARTS,ARTS-0010,0,0,Art Lower Division,
ARTS,ARTS-0011,0,1,Arts Lower Division,
ARTS,ARTS-0012,0,2,Arts Lower Division,
ARTS,ARTS-0013,0,3,Arts Lower Division,
ARTS,ARTS-0014,0,4,Arts Lower Division,
ARTS,ARTS-0015,0,5,Arts Lower Division,
ARTS,ARTS-0020,0,0,Art Upper Division,
ARTS,ARTS-0022,0,2,Arts Upper Division,
ARTS,ARTS-0023,0,3,Arts Upper Division,
ARTS,ARTS-0025,0,5,Arts Upper Division,
ARTS,ARTS-0053,0,3,Arts - Graduate,
ARTS,ARTS-0055,0,5,Arts - Graduate,
ARTS,ARTS-1013,1,3,Learn to Paint,
ARTS,ARTS-1103,1,3,Digital Imaging I,An Introduction to the use of computer hardware and software for the production of visual images.
ARTS,ARTS-1113,1,3,Fundamentals of Drawing,An introduction to the fundamental approaches to drawing with attention given to the concepts and processes that constitute the language of visual expression. This course is normally offered in the fall semester.
ARTS,ARTS-1123,1,3,Culture of Esports and Gaming,
ARTS,ARTS-1213,1,3,Figure Drawing,A study of the human form with attention given to the concepts and processes that constitute the language of visual expression. This course is normally offered in the spring semester.
ARTS,ARTS-1413,1,3,Elements of Visual Thinking,"A study of the elements of art. Studio work includes two-dimensional experimentation and exercises that nurture creative visual expression, which integrate critical discourse through the development of the language of art and design. This course is normally offered in the spring semester."
ARTS,ARTS-1623,1,3,Introduction to Interior Design,"An overview of the interior design profession and an introduction to basic graphic communication skills, including hand drafting, with experiences in observing professional designers, producing scaled drawings of floor plans, and application of the elements and principles of design. This course is normally offered in the fall semester."
ARTS,ARTS-1643,1,3,"Interior Textiles, Materials, and Finishes","A study of interior textiles (fabrics and upholstery). Fabric content, properties, construction process, dyeing, and printing are examined. Basic building materials (wood, glass, metal, masonry, etc.) as well as wall coverings and hard floor treatments and their properties and uses will be addressed. Students will learn through case studies and examples to measure and figure correct amounts of materials to order. This course is normally offered in the spring semester."
ARTS,ARTS-1653,1,3,Computer Aided Design,"Prerequisites: ARTS-1623, permission of instructor. Use of industry software in the creation of two-dimensional representation of built forms and spaces for interiors. This course is normally offered in the spring semester."
ARTS,ARTS-2013,2,3,Survey of Visual Culture,"Survey of Visual Arts is an introductory art appreciation course that will overview the major works of art and cultural ideas from a global perspective. Lectures and presentations will cover a broad range of disciplines including painting, architecture, film, photography, product design, graphic communication, and digital design. This course is normally offered in the spring semester."
ARTS,ARTS-2123,2,3,Rendering in Perspective,"Prerequisites: ARTS-1623 and ARTS-1643 or permission of instructor. A study of rendering materials, methods, and techniques and how they relate to a 1-, 2-, 3-point perspective. The course will explore color theory as well as shade and shadow elements as they are used with various mediums such as marker, colored pencil, ink, and mixed mediums. Advanced problems in rendering and visual presentation are explored throughout the course. This course is normally offered in the spring semester."
ARTS,ARTS-2133,2,3,Introduction to Game Technology,"Prerequisites: ARTS-2743. Introduction to the tools and technology for developing 3D digital models, characters, animations, and environments to be used in realtime interactive media such as games and simulations. Basic drawing skills and knowledge of 3d modeling or similar 2D graphics software are required."
ARTS,ARTS-2143,2,3,Digital Painting,"Pre-requisite: ARTS-2743. This course introduces digital painting and the use of popular computer painting software, covering both basics of the program and onscreen painting. The class focuses on the image manipulation and painting tools and translates traditional painting techniques to the computer. Exercises emphasize techniques that enhance students' understanding of the software interface, ability to visualize and sketch out compositions, control light and value, and create a representational image. The process taught has direct application to illustration, feature films, video games, graphic novels, etc. Additionally, students learn about visual communication and how to expand their ability to communicate their visual ideas to collaborators."
ARTS,ARTS-2223,2,3,Intro to Communication Design,"Prerequisites: ARTS-1103 and ARTS-1413. An introduction to the advertising, graphic design, and new media industry. Studio work includes print media design and graphic design with directed outcomes based upon research, strategy-based conceptualization, and execution. This course is normally offered in the fall semester."
ARTS,ARTS-2233,2,3,Typography,Prerequisites: ARTS-2223 and ARTS-2323. A study of letterforms and fundamental typographic principles. Studio work includes typographic expression and communication with and without image and its relationship to message and purpose. This course is normally offered in the spring semester.
ARTS,ARTS-2243,2,3,Interactive Media Design I,"Prerequisite: ARTS-1103 and ARTS-1413. Introduction to the aesthetic and technical concerns of interactive media production: human-computer interactivity, website design and development, usability issues, and dynamic narrative. Students design, produce, and deploy interactive projects. This course is normally offered in the fall semester."
ARTS,ARTS-2263,2,3,Interactive Media Design II,
ARTS,ARTS-2323,2,3,Digital Imaging II,"The use of digital design tools for the production of online marketing, print marketing, and single multipage content delivery."
ARTS,ARTS-2423,2,3,History of Photography + Motion Pictures,"This class entails a chronological study of the photographic arts and motion pictures. The course content examines the technological innovations and famous innovators from photography's introduction. Lectures analyze photos and motion pictures from various critical/historical perspectives to offer a comprehensive overview of important photographers, fine artists, photojournalists, and film makers of the modern age. This course is offered in the fall semester."
ARTS,ARTS-2433,2,3,History of Gaming and Animation,
ARTS,ARTS-2443,2,3,Construction Materials and Details,"Prerequisites: ARTS 1623 and 1643 preferred but not required. This course is a study of materials used in the design of interior spaces. It includes fire-resistant qualities, acoustical properties and the construction of materials used in finishes and furnishings, as well as qualities important to sustainable design issues. Emphasis on writing specifications for FF&E for non load bearing construction. Emphasis is also placed on technical, construction drawings to include elevations, section drawings, etc. The course is normally offered in the fall semester of odd numbered years."
ARTS,ARTS-2513,2,3,Painting I,"Prerequisites: ARTS-1113, ARTS-1213, and ARTS-1413 or permission of instructor. A study of materials, techniques, and concepts fundamental to painting. The course encourages students to originate and produce a portfolio of paintings experimenting with various processes and historical ideas. This course is normally offered in the spring semester."
ARTS,ARTS-2523,2,3,Digital Sculpting Digital Sculptin,"Prerequisites: ARTS-2743. A study of the elements of art and their supportive elements. Studio work includes three-dimensional experimentation and exercises that relate ideas, objects, material, and space with form studies that examine organic and constructed elements. This course is normally offered in the fall semester."
ARTS,ARTS-2623,2,3,Residential Interior Design,"Prerequisites: ARTS-1113, ARTS-1413, ARTS-1623, ARTS-1653 or concurrent enrollment. A study of residential design with emphasis on kitchen and bath planning. This course is normally offered in the fall semester."
ARTS,ARTS-2653,2,3,Space Planning & Codes,"Prerequisites: ARTS-1623, ARTS-1653. A study of the application of human factors, space standards, and space planning principles to residential and commercial environments. This course is normally offered in the spring semester."
ARTS,ARTS-2663,2,3,Architectural Graphics,"Prerequisites: ARTS-1643. Further development of drafting skills with emphasis on hand lettering, dimensioning, materials delineation of floor plans, drawing elevations, sections, and perspectives. This course is normally offered in the spring semester."
ARTS,ARTS-2743,2,3,3D Modeling I,"Prerequisites: ARTS-1103 or CMSC-1113. Creation of virtual objects and environments. Students use the computer to model, texture, light, render, and animate dynamic objects and scenes in digital three-dimensional space. For gaming and animation majors, this course is normally offered in the spring semester. For interior design majors, this course is normally offered in the fall semester."
ARTS,ARTS-2753,2,3,"Texturing, Rendering, and Lighting","Pre-requisite: ARTS-2743 A studio course focused on 3D lighting and surfacing techniques using industry standard software. Topics covered include the relationship between surface and light, the effects of lighting and surfacing on a 3D scene, types of lights and shadows, surface qualities, textures, and mapping, and industry lighting techniques, including recreating real-world lighting. Students will also learn lighting and surface design and workflow management."
ARTS,ARTS-2843,2,3,Digital 3D Modeling for Interior Design,"Creation of virtually-real objects and environments. Students use the computer to model, texture, light, render, and animate dynamic objects and scenes in digital three-dimensional space. This course is normally offered in the spring semester."
ARTS,ARTS-3033,3,3,Christian Aesthetics in the Visual Arts,Prerequisite: Junior or Senior Standing. A seminar course addressing a Christian response to contemporary cultural issues in the visual arts.
ARTS,ARTS-3113,3,3,Printmaking Intaglio & Relief,"Prerequisites: ARTS-1213 and ARTS-1413. Designed to introduce you to the tools, history, and basic techniques of printmaking through the use of the etching press. Etching, drypoint, collograph, relief, and monotype techniques will be discussed. Students are encouraged to explore the problems and concerns of their own images technically through multiples and one-of-a-kind prints. A series of critiques, group discussions, research and information gathering assignments, lectures and demonstrations complement studio work. This course is normally offered in the fall semester."
ARTS,ARTS-3123,3,3,Printmaking: Serigraphy,"Prerequisite: ARTS-1213, ARTS-1413. Designed to introduce you to a survey of screen-printing techniques including hand-cut, painted and photographic stencils and multi-color printing. This course is an introduction examination of water-based serigraphic techniques, concentrating in process and aesthetic development. Monotype and monoprint techniques will also be discussed. A series of critiques, group discussions, research and information gathering assignments, lectures and demonstrations complement studio work. This course is normally offered in the spring semester."
ARTS,ARTS-3133,3,3,Digital Design for Print,
ARTS,ARTS-3163,3,3,Animation Principles,"Prerequisite: ARTS-1103 and ARTS-2743. History, theory, and technique of traditional and contemporary approaches to animation. Includes studies in fundamentals of digital storytelling, physics, animation aesthetics, expression, kinetics, and motion. Projects include work in digital 2D and 3D, stop-motion, rotoscoping, and other animation environments. This course is normally offered in the fall semester."
ARTS,ARTS-3173,3,3,3D Modeling & Animation II,"Prerequisite: ARTS-2743 and ARTS-3163. In this course students will study and practice techniques used in character design, modeling, and rigging using 3D computer software. Advanced 3D modeling, shading, rendering, and character-design skills are developed in conjunction with traditional story, animation, lighting, and cinematography methods. Designs for game animation will be compared with designs for film and video. Action and motion sequences will be created and studied. This course is normally offered in the spring semester."
ARTS,ARTS-3213,3,3,Painting II,Prerequisite: ARTS-2513. A further study of the techniques and processes of painting with special attention to the development of the student's direction and portfolio development. This course is normally offered in the spring semester.
ARTS,ARTS-3243,3,3,Graphic Design,"Prerequisite: ARTS-2233. A study of integrating message, typography, and image through conceptual innovation. Studio work includes necessary vehicles for information, narrative, promotion, and marketing. This course is normally offered in the fall semester."
ARTS,ARTS-3253,3,3,Print + Digital Delivery Design,"A creative problem solving course that applies strategy, concept, copy content, and visual communication for an executed message across platforms for print, web, social media, and branded content."
ARTS,ARTS-3263,3,3,Advanced Graphic Design,"Prerequisite: ARTS-3243. A further study of blending messages and content with design and application. Studio work is a continuation of necessary vehicles for information, narrative, promotion, and marketing, sometimes in relation to integrated design through several platforms of communication. This course is normally offered in the spring semester."
ARTS,ARTS-3273,3,3,Inactive!!! Do Not Use,
ARTS,ARTS-3283,3,3,Do Not Use,
ARTS,ARTS-3333,3,3,History of Design,"A comprehensive chronological survey of the impact and transformation of design upon Western civilization. Ideas and changes are explored through disciplines such as graphic design, industrial design, product design, photography, architecture, furniture, and fashion. This course is normally offered in the spring semester."
ARTS,ARTS-3343,3,3,Ancient to Modern Art History,"A focus on the pivotal artists, movements, and concepts from each era. Art, as it has been shaped by cultural, social, political, and economic factors will be examined in a chronological study from pre-history to mid-twentieth century. This course is normally offered in the fall semester of even-numbered years."
ARTS,ARTS-3353,3,3,Contemporary Art,"A chronological study of modern art from 1945 to the present. In-depth study will be on the many artists, movements, critical theories, cultural conditions, and global issues that have shaped art of the modern and postmodern age. This course is normally offered in the fall semester of odd-numbered years."
ARTS,ARTS-3363,3,3,Photography I,Course will focus on production of portfolio/exhibition quality photographic images. Students will work in a digital format with an emphasis on developing/exploring personal direction in fine art photography. This course is normally offered in the fall semester.
ARTS,ARTS-3373,3,3,Photography II,Course will offer student further development of their personal fine art photographic projects. Emphasis will be on production of exhibition /portfolio quality digital photographic work. This course is normally offered in the spring semester.
ARTS,ARTS-3383,3,3,Motion Imagery,"Prerequisite: ARTS-2743 and ARTS-3173. Introduces students to the principles and elements of motion design through studio practices at beginning and advanced levels. The first phase, type in motion"
ARTS,ARTS-3393,3,3,Game History and Development,"This course provides a historical and critical approach to the evolution of video game design and animation from its beginnings to the present. It brings together cultural, business, and technical perspectives. Students should come away from the course with an understanding of the history of this medium, as well as insights into design, production, marketing, and sociocultural impacts of interactive entertainment and communication. The course will offer reading, discussion, guest presentations and projects on the developing culture and technology of animation and video game design. Historical contexts include entertainment media, computing technology, applications of gaming technology, and business history. This class will be offered in the fall semester."
ARTS,ARTS-3423,3,3,History of Animation,"This course provides a historical and critical approach to the evolution of animation from its beginnings to the present. It brings together cultural, business, and techincal perspectives. Students should come away from the course with an understanding of the history of this medium, as well as insights into design, production, marketing, and socio-cultural impacts of sequential based storytelling and communication. The course will offer reading, discussion, guest presentations and projects on the developing culture and technology of animation. This course is normally offered in the summer semester."
ARTS,ARTS-3443,3,3,Interactive Media Design II,"Prerequisite: ARTS-2243. Study of interactive design and further exploration into production capabilities of industry standard web authoring software. Topics include: dynamic content, file management, internet typography, development of user interfaces, site maps, external web functionality and trouble-shooting. This course is intended for designers who wish to consolidate and apply their prior knowledge and skills of interactive design. This is a culminating experience and designers are expected to demonstrate sophisticated interactive design decisions and produce final works that demonstrate a high level of expertise and achievement. This course is normally offered in the spring semester."
ARTS,ARTS-3453,3,3,Team Game Production I,"Prerequisite: ARTS-2743 or instructor permission. This course provides a foundation in the game development process, including planning, pipelines, and documentation for game projects, game technology, artificial intelligence, and user interface design, game testing, project and asset management, team dynamics, and usability analysis. Students apply game design and development skills to create a 2D and 3D game demo as part of small project teams. This course is offered in the fall semester."
ARTS,ARTS-3513,3,3,Graphic Arts Production,"Prerequisite: ARTS-2233. An introduction to a basic understanding of preparing art for reproduction through textbook material, lectures, and an internship. This course is normally offered in the summer semester."
ARTS,ARTS-3523,3,3,Conceptual Illustration,"Prerequisites: ARTS-1103 ARTS-1113 ARTS-1413. A creative problem solving course that emphasizes concepts, visual process, most of communication and audience."
ARTS,ARTS-3533,3,3,Historical Interior Design I,"A study of decorative arts, furniture, and interiors as they have evolved from ancient Egypt up to the Italian Renaissance. Emphasis is given to the ways ancient motifs and decorative designs have been continually repeated and used from the original historic periods to the present. This course is normally offered in the fall semester of even numbered years."
ARTS,ARTS-3543,3,3,Historical Interior Design II,"A study of historical periods, surveying the Italian Renaissance through the 18th Century; acquainting students with terminology, motifs, furniture, architecture, and stylistic differences as they relate to the time periods. This course is normally offered in the spring semester of odd numbered years."
ARTS,ARTS-3613,3,3,Interior Systems,"Prerequisites: ARTS-1623 and ARTS-1653. A study of interior lighting design, acoustics, fire suppression, plumbing, electric, and HVAC (heating, ventilation and air conditioning) systems. Projects are assigned to help students learn how to use these systems and develop coordinating contract documents. The course also covers natural energy sources with attention to insulation techniques and the structural types of passive-solar and earth-sheltered. This course is normally offered in the spring semester."
ARTS,ARTS-3623,3,3,Commercial Design I,"Prerequisites: ARTS-1643. ARTS-1653, and ARTS-2653. A study of contract/commercial design and space planning principles. Projects involve public or business spaces, with barrier-free design principles included. Drafting and presentation skills are further reinforced. This course is normally offered in the fall semester."
ARTS,ARTS-3633,3,3,Contemporary Interior Deign Expression,"A study of design movements affecting furniture and interiors from 1900 to present, emphasizing the evolution in design concepts and philosophies of eminent architects and designers. This course is normally offered in the fall semester of odd-numbered years."
ARTS,ARTS-3643,3,3,Commercial Design II,"Prerequisite: ARTS-3623. A study of non-residential interiors with an emphasis on programming, light safety and building codes, barrier-free design and space and activity planning of the interior environment. This course is normally offered in the spring semester."
ARTS,ARTS-3773,3,3,The Business of Branding Yourself,"Prerequisite: Junior standing. A study directed to the challenges of seeking employment in creative industries after graduation, establishing a business, and developing healthy professional and personal finance practices. This course is normally offered in the spring semester."
ARTS,ARTS-3813,3,3,Art and Politics: From the French Revolution to the Bauhaus,
ARTS,ARTS-4213,4,3,Open Studio,Prerequisite: ARTS-3213. Advanced painting course emphasizing the production of finished portfolio with preparation of student's senior exhibition. This course is normally offered in the fall semester.
ARTS,ARTS-4223,4,3,Gaming and Animation Studio,"Prerequisites: ARTS-3173, ARTS-3453, Senior standing and permission of instructor. Students participate in the new media production process for design and development of client driven projects in a team environment. This course is normally offered in the fall semester."
ARTS,ARTS-4253,4,3,Integrated Marketing Design,"Prerequisite: ARTS-2233. A study of integrating various vehicles of communication into a single message. Studio work includes advertising, graphic design and new media design to market a product, service or idea based upon research and strategy-based concepts. This course is normally offered in the spring semester."
ARTS,ARTS-4313,4,3,Art History Seminar,
ARTS,ARTS-4333,4,3,Photography II,"Prerequisite: ARTS-3363 OR COMM-2413. Students will work in a digital format with an emphasis on producing a professional portfolio of photographic images encompassing fine art and commercial applications. As a final studio course, students will be required to submit work to national photographic competitions and public exhibitions. This course is offered as needed."
ARTS,ARTS-4523,4,3,Visual Storytelling,Pre requisite: ARTS-1103 ARTS-1113 ARTS-1413. A creative problem solving course that combines words and sequential art to tell a dynamic narrative.
ARTS,ARTS-4613,4,3,Interior Design Professional Practices And Portfolio,"Prerequisite: ARTS-3643. A history and introduction of interior design career management focusing on professional responsibilities, professional organizations, management of office processes, client relationships, and overview of establishing and organizing a business. This course will culminate with a portfolio presentation to a panel of professionals. This course is normally offered in the spring semester."
ARTS,ARTS-4633,4,3,Senior Interior Design Studio,"Prerequisite: ARTS-3643, Senior standing. Designing interior solutions related to non-residential interiors. This senior-level course will also survey business procedures, contract services, and administration and preparation for job market entry as applied to the practice of Interior Design. This course is normally offered in the fall semester."
ARTS,ARTS-4643,4,3,Senior Exhibit,Prerequisite: Senior standing and instructor's permission. A showing of visual works developed over the course of the student's college years. This exhibit and reception are the culmination of the student's collegiate experience. This course is offered as needed.
ARTS,ARTS-4653,4,3,Photo + Video Capstone,
ARTS,ARTS-4663,4,3,Gaming + Animation Capstone,"Prerequisite: ARTS-3173 and ARTS-4223. Examination of gaming + animation topics related to ethical concerns includes: portfolio and resume development, preparations for the workforce and/or graduate studies, and conducting results with the class. This course is offered in the spring semester."
ARTS,ARTS-4801,4,1,Art Seminar,
ARTS,ARTS-4802,4,2,SS: Special Studies Art/Dsgn,
ARTS,ARTS-4803,4,3,SS: Special Studies Art/Dsgn,
ARTS,ARTS-4811,4,1,Graphic Design Internship,
ARTS,ARTS-4812,4,2,Graphic Design Internship,
ARTS,ARTS-4813,4,3,Graphic Design Intership,
ARTS,ARTS-4821,4,1,Interior Design Internship,
ARTS,ARTS-4822,4,2,Interior Design Internship,
ARTS,ARTS-4823,4,3,Interior Design Internship,
ARTS,ARTS-4831,4,1,Art Internship,
ARTS,ARTS-4832,4,2,Art Internship,
ARTS,ARTS-4833,4,3,Art Internship,
ARTS,ARTS-4840,4,0,Gaming and Animation Intership,"Prerequisite: Permission of instructor. An internship with a new media department. 1 credit hour for every 50 hours the student works, not to exceed 3 credit hours per semester. This course is offered as needed."
ARTS,ARTS-4841,4,1,Gaming and Animation Internship,
ARTS,ARTS-4842,4,2,Gaming and Animation Internship,
ARTS,ARTS-4843,4,3,Gaming and Animation Internship,
ARTS,ARTS-4852,4,2,Advanced Interior Design Internship,
ARTS,ARTS-4853,4,3,Advanced Interior Design Internship,
ARTS,ARTS-4861,4,1,New Media Internship,
ARTS,ARTS-4862,4,2,New Media Internship,
ARTS,ARTS-4863,4,3,New Media Internship,
ARTS,ARTS-4901,4,1,Is: Interior Design Independent Study,
ARTS,ARTS-4902,4,2,Is: Feung Shey,
ARTS,ARTS-4903,4,3,IS: Art Independent Study,
ARTS,ARTS-4911,4,1,Independent Study,
ARTS,ARTS-4912,4,2,IS:Graphic Design II,
ARTS,ARTS-4913,4,3,Art Special Studies,
ARTS,ARTS-4914,4,4,IS:Character Modeling,
ARTS,ARTS-4923,4,3,IS:Advanced Ad Design Intrnsp,
ARTS,ARTS-4933,4,3,Gaming & Animation Internship,
ARTS,ARTS-4941,4,1,Is: Gaming & Animation Independent Study,
BIBL,BIBL-0010,0,0,Bible Lower Division,
BIBL,BIBL-0011,0,1,Bible Lower Division,
BIBL,BIBL-0012,0,2,Bible Lower Division,
BIBL,BIBL-0013,0,3,Bible Lower Division,
BIBL,BIBL-0014,0,4,Bible Lower Division,
BIBL,BIBL-0020,0,0,Bible Upper Division,
BIBL,BIBL-0022,0,2,Bible Upper Division,
BIBL,BIBL-0023,0,3,Bible Upper Division,
BIBL,BIBL-0050,0,0,Graduate Biblical Studies,
BIBL,BIBL-0053,0,3,Graduate Biblical Studies,
BIBL,BIBL-0060,0,0,Graduate Ministry Studies,
BIBL,BIBL-0063,0,3,Graduate Bible Upper Division,
BIBL,BIBL-0103,0,3,Survey of the Old Testament,
BIBL,BIBL-1002,1,2,Introduction to Spiritual Life,
BIBL,BIBL-1103,1,3,Introduction to the Bible I,"Prerequisites: Permission of instructor. Introduces students who have little or no familiarity with the Bible or the Christian faith to the basic message, concepts and characters. The course, along with Introduction to the Bible II, prepares students to enter the regular core Bible curriculum the following year. This course is normally offered in the fall semester."
